Dv,MARCA,Material,Descripción,      Amount ,Unit,per,UoM,Empaque Mínimo,ABC Code,División.,Marca.
4B,KILLARK,0075684B,"BLST, ADV 71A6091500DA                /M", $120.33 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,0075903B,"BLST, UNIVERSAL M250MLTAC3M", $166.95 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,0075986B,"BLST, ADV 71A5590500D/M175MLTAC3      /M", $123.84 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,0077605B,"BLST, ROB PSM226CQMVDW", $69.80 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,0106280B,"LUG, MACH SMALL BOX MTG", $4.88 ,USD,1,PZ,1 PZ,M,4B,KILLARK
5E,Dual-Lite,0120707,BATT-PL 6V 8M 6V 8AH, $74.43 ,USD,1,PZ,1 PZ,M,5E,Dual-Lite
5E,Dual-Lite,0120803,BATT-12V-7.2AH LEAD CALCIUM, $48.03 ,USD,1,PZ,1 PZ,M,5E,Dual-Lite
5E,Dual-Lite,0120824,BATT-SLA 6V 3.4A/90M 7-7.2AH, $22.97 ,USD,1,PZ,1 PZ,M,5E,Dual-Lite
4B,KILLARK,0166029B,"CTN-RSC, 14.13x14.25x6.00 200C", $6.61 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,0166034B,"CTN-RSC, 14.31x14.31x15.19 275EB", $8.03 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,0166035B,"CTN-LINER, DC 17.5x7.5 275EB          /M", $3.25 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,0166150B,"CTN-HSC, 15.50x6.25x8.25 200C", $5.44 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,0166183B,"CTN-RSC, 5.50x5.50x14 200C", $3.20 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,0166200B,"CTN-DC, 15.00x5.88x8.25 200C", $14.23 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,0175130B,"BREAKER, WEST QCGFT1015", $356.78 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,0180176B,CONN TERMBLK END CLIP WEST TAD, $14.08 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,0226100B,DISCONTINUED - USE YOSI-52BAK, $42.70 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,0226200B,DISCONTINUED - USE YOSI-52BAJ, $42.70 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,0260044B,"DRVR,0260026B,50W PROG @ 700MA", $90.08 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,VCGP-100,"""V"" SER INCAN. 100 SERIES CLEA", $26.03 ,USD,1,PZ,1 PZ,-,4B,KILLARK
4B,KILLARK,VG-2,"""V"" SER INCAN. FIXTURE HANGER", $29.64 ,USD,1,PZ,1 PZ,-,4B,KILLARK
4B,KILLARK,0452923B,"LBL, BLANK 4X1.375, P.O.P.", $0.10 ,USD,1,PZ,1 PZ,M,4B,KILLARK
